Source,Igbo,Hausa,Yoruba
"Heavy rain is coming soon. If you live near a river or low area, please move valuables to higher ground now. It’s better to be safe.","Nnukwu mmiri ozuzo na-abịa n'oge na-adịghị anya. Ọ bụrụ na ị bi nso n'osimiri maọbụ n'ebe dị ala, biko buru ihe dị mkpa buga n'ebe dị elu ugbua. Ọ ka mma na ị zọrọ onwe gị.","Ruwan sama mai ƙarfi yana zuwa nan ba da jimawa ba. Idan kuna zaune kusa da kogi ko wuri mai kwari-kwari, ku mai da muhimman kayayyakinku zuwa wuri mai tudu yanzu. Ya kamata a kiyaye.","Òjò ńlá ń bọ̀ láìpẹ́. Bí ẹ bá ń gbé nítòsí odò tàbí àgbègbè tí kò fi bẹ́ẹ̀ jìnnà sí odò, ẹ jọ̀wọ́ ẹ gbé àwọn nǹkan iyebíye yín lọ síbi tó ga. Ó dára láti wà ní ààbò."
"Water levels are rising fast. Avoid flooded roads, just a little water can sweep you off your feet or stall your car. Stay sharp!",Ogo mmiri na-ebuwanye ibu. Zere okporo ụzọ nwere ide mmiri n'ihi na obere mmiri nwere ike ịmịchatu gị maọbụ mee ka ụgbọala gị ghara ịgbazi. Kpachara anya!,"Ruwa yana ƙara yin sama cikin sauri. Ku guji bin hanyoyin da ruwa ya mamaye, saboda ruwa kaɗan ma zai iya ka da ku ko ya hana motarku aiki. Kasance a faɗake!","Omi ń yára ròkè. Yẹra fún àwọn ọ̀nà tí omi ti kún inú rẹ̀, omi díẹ̀ péré lè gbé ẹ lọ tàbí kó mú kí ọkọ̀ rẹ dúró. Ẹ wà lójúfò!"
"If your area floods easily, don’t wait till the last minute. Pack an emergency bag with essentials, food, water, medicine, and important documents.","Ọ bụrụ na ide mmiri na-adịkarị ebe i bi, echela ka o ruo oge ikpeazụ. Buru ihe ndị dị mkpa, nri, mmiri, ọgwụ, na akwụkwọ ndị dị mkpa tinye n'akpa gị.","Idan yankinku na da saurin yin ambaliya, kada ku jira har lokaci ya ƙure. Ku ɗebe jaka da abinci da ruwa da magani na gaggawa da kuma takardu masu muhimmanci.","Tó bá jẹ́ pé omi máa ń bo àdúgbò rẹ, má ṣe dúró títí dìgbà tó bá yá. Kó àwọn nǹkan tó o nílò, oúnjẹ, omi, oògùn àti àwọn ìwé pàtàkì sínú àpò pàjáwìrì."
"Drainage systems are already full, and more rain is on the way. If you notice water rising, start making plans to leave before it’s urgent.","Ọwa mmiri niile ejuola, mmiri ọzọ na-akwado izo. Ọ bụrụ na ị chọpụta na mmiri na-ebili, kwado pụọ tupu ọ daa mberede.","Magudanan ruwa sun riga sun cika, kuma ruwan sama na shirin sauƙa. Idan kukuka ga ruwa yana ƙara yin sama, ku fara shirin barin wurin kafin lamarin ya yi tsanani.","Àwọn eto ònà tí omi gbà ń ṣàn ti kún, òjò á sì máa rọ̀ lọ́jọ́ iwájú. Tó o bá kíyè sí i pé omi ti ń lọ sókè, bẹ̀rẹ̀ sí ṣètò bó o ṣe máa kúrò níbẹ̀ kó tó di pé ó di kánjúkánjú."
"Floodwater is dirty and dangerous. If you must wade through it, protect your feet and wash up immediately. Don’t take risks with your health.","Mmiri ide ruru inyi ma nwe ike ibunye mmadụ ọrịa. Ọ bụrụ na ị chọrọ isi n'ime ya gafee, chebe ụkwụ gị ma saa ahụ́ ozugbo. E jila ahụike gị egwu egwu.","Ruwan ambaliya yana da datti da haɗari. Idan dole sai kun ratsa ta cikinsa, to ku kare ƙafafunkuu kuma ku wanke jikinku da zarar kun wuce. Kada ku yi wasa da lafiyarku.","Àgbàrá máa ń dọ̀tí ó sì léwu. Tí o bá ní láti rìn nínú rẹ, dáàbò bo ẹsẹ rẹ, kó o sì tètè wẹ̀. Má ṣe fi ìlera rẹ wewu."
"The heat is serious today. If you’re feeling dizzy or weak, find shade and drink plenty of water. Don’t ignore the signs!","Oké okpomọkụ dị taa. Ọ bụrụ na ajụ na-ebu gị maọbụ na ahụ esighi gị ike, gaa na ndò ma ṅụọ mmiri nke ọma. E legharala ihe ịrịba ama ndị ahụ anya!","Yau zafi yayi tsanani sosai. Idan kuna jin jiri ko kasala, nemi inuwa ku huta kuma ku sha ruwa sosai. Kada ku yi watsi da waɗannan alamomi!","Óóru tóni lágbára gan nií. Tó bá ń ṣe ẹ́ bí ẹni pé orí rẹ ń wú tàbí pé o kò lágbára, lọ síbi tó ni iboji, kó o sì mu omi tó pọ̀. Má ṣe fójú fo àwọn àmì náà!"
Check on older family members and kids. They struggle more in extreme heat. Make sure they’re drinking water and staying cool.,Leruo ndị okenye na ụmụaka nọ n'ezinaụlọ gị anya. Ọ na-ahịa ha ahụ ịnọ n'oké okpomọkụ. Gbaa mbọ hụ na ha na-aṅụ mmiri ma na-anọ ebe ikuku dị.,Duba lafiyar tsofaffi da yara da ke cikin gidanku. Sun fi shan wahala lokacin zafi mai tsanani. Ku tabbatar cewa suna shan ruwa kuma suna zama cikin sanyi-sanyi.,Ẹ ṣàbẹwò àwọn arúgbó àti àwọn ọmọ kékeré. Wọ́n máa ń ní ìṣòro púpọ̀ nígbà tí ooru bá pọ̀. Mú kó dájú pé wọ́n ń mu omi tó àti pé wọ́n wà níbi tó tútù.
"Try to limit outdoor work during peak heat hours. If you must go out, wear light clothes and take breaks often.","Gbalịa ka ị ghara ịrụ ọrụ n'èzí n'oge okpomọkụ. Ọ bụrụ na ọ bụ iwu na ị ga-apụ apụ, yiri uwe na-anaghị anyị arọ ma na-ezutụ ike kwa mgbe.","Ku yi ƙoƙari ku rage yawan yin aiki a waje a lokutan da zafi ya fi tsanani. Idan kuma dole sai kun fita, to ku sanya tufafi marasa nauyi kuma ku riƙa hutawa aki-aki.","Gbìyànjú láti dín iṣẹ́ tí wàá máa ṣe níta kù lákòókò tí ooru bá pọ̀ jù. Bó bá pọn dandan pé kó o jáde, wọ aṣọ fẹ́rẹ́fẹ́, kí o sì máa sinmi lẹ́ẹ̀kọọ̀kan."
Power cuts are possible because of high electricity demand. Charge your phone and keep water stocked in case of an outage.,E nwere ike were ọkụ n'ihi na ndị ji ọkụ eletrik eme ihe karị akarị. Tinye ekwentị gị n'ọkụ ma chekwaa mmiri ma ọ bụrụ na e were ọkụ.,Akan iya ɗauke wutar lantarki saboda yawan buƙatar amfani da wutar lantarki. Yi cajin wayarku kuma ku tanadi ruwa a gida ko da za a ɗauke wuta.,"Ìyọkúrò nínu ina lè ṣẹlẹ̀ nítorí ìbéèrè fún iná ga. Gbìyànjú láti ri pè fónú rẹ ní ina lòrí, kí o sì pèsè omi tó pọ̀ sílẹ̀ nítòsí, bi o ba ṣẹlẹ pe ìna lọ."
"Heatwaves can dry up wells and streams. Start conserving water now, use it wisely so it lasts longer.","Oké okpomọkụ nwere ike ime ka mmiri dị n'ọmị na iyi takpọọ. Bido ichekwa mmiri ugbua, jiri ya n'ụzọ dị mma ka o wee nọtere gị aka.","Zafin rana kan iya sa rijiyoyi da ƙoramu su ƙafe. Ku fara tanadin ruwa yanzu, ku yi amfani da shi yadda ya dace ta yadda zai yi ƙarko sosai.","Ooru tó ń mú gan-an lè mú kí kànga àti odò gbẹ. Bẹ̀rẹ̀ sí í ṣọ́ omi nísinsìnyí, kó o sì máa lò ó lọ́nà tó bọ́gbọ́n mu, kí omi nà le pẹ́."
